channel_short,date,topic,text,clean_text,label_name
rian_ru,2025-10-31T16:41:01+00:00,0,"Ведро воды на квадратный метр выпало за пятницу в Москве, сообщил РИА Новости ведущий специалист центра погоды ""Фобос"" Тишковец. Подписаться на РИА Новости",ведро воды на квадратный метр выпало за пятницу в москве сообщил риа новости ведущий специалист центра погоды фобос тишковец подписаться на риа новости,Общее
mosrutop,2025-10-31T13:11:17+00:00,7,"Москвичей и гостей столицы в разных районах города ждут мероприятия в честь Дня народного единства. 4 ноября в 12:00 начнется гала-программа с выставкой, лекциями, концертами и мастер-классами по народным ремеслам. Культурный центр «Новослободский». 4 ноября в 13:00 пройдет программа «Единение души» с музыкальными, хореографическими и театральными номерами. Культурный центр «Гармония», отделение «Юность». 5 ноября в 16:30 можно принять участие в интеллектуальных и спортивных эстафетах. Культурный центр «Созвездие». Подробная программа — в материале.",москвичей и гостей столицы в разных районах города ждут мероприятия в честь дня народного единства 4 ноября в 12 00 начнется гала программа с выставкой лекциями концертами и мастер классами по народным ремеслам культурный центр новослободский 4 ноября в 13 00 пройдет программа единение души с музыкальными хореографическими и театральными номерами культурный центр гармония отделение юность 5 ноября в 16 30 можно принять участие в интеллектуальных и спортивных эстафетах культурный центр созвездие подробная программа в материале,Развлечения
kommersant,2025-11-01T07:59:55+00:00,5,"За последние 25 лет число врачей в России выросло, но их все равно недостаточно. Чаще всего не хватает участковых терапевтов, сотрудников скорой помощи и в целом лечащих врачей в государственных медучреждениях. К таким выводам пришли исследователи проекта «Если быть точным», изучив открытые данные Росстата, Минздрава и подведомственных ему структур. Аналитики связывают кадровую нехватку специалистов с низкими зарплатами и высокой нагрузкой — две трети медиков работают больше чем на одну ставку. Медицинские профсоюзы подтверждают наличие этих проблем, отмечая, что переработки есть везде, даже в Москве. Однако в подведомственном Минздраву институте раскритиковали исследование, не согласившись с методикой оценки статистики. В самом министерстве напомнили про «последовательную модернизацию системы здравоохранения» и заявили про регулярное повышение зарплат медработников. Подробнее — в материале «Ъ». #Ъузнал",за последние 25 лет число врачей в россии выросло но их все равно недостаточно чаще всего не хватает участковых терапевтов сотрудников скорой помощи и в целом лечащих врачей в государственных медучреждениях к таким выводам пришли исследователи проекта если быть точным изучив открытые данные росстата минздрава и подведомственных ему структур аналитики связывают кадровую нехватку специалистов с низкими зарплатами и высокой нагрузкой две трети медиков работают больше чем на одну ставку медицинские профсоюзы подтверждают наличие этих проблем отмечая что переработки есть везде даже в москве однако в подведомственном минздраву институте раскритиковали исследование не согласившись с методикой оценки статистики в самом министерстве напомнили про последовательную модернизацию системы здравоохранения и заявили про регулярное повышение зарплат медработников подробнее в материале ъ,Медицина
tass_agency,2025-11-01T08:46:01+00:00,10,"Суд арестовал до 30 декабря мужчину, обвиняемого в убийстве матери — ее тело без головы нашли в лесопарке в Екатеринбурге, сообщили в объединенной пресс-службе судов Свердловской области.",суд арестовал до 30 декабря мужчину обвиняемого в убийстве матери ее тело без головы нашли в лесопарке в екатеринбурге сообщили в объединенной пресс службе судов свердловской области,Происшествия
rian_ru,2025-10-31T17:30:23+00:00,0,"Капибар и выдр из ""Москвариума"" угостили тыквами. Ничто так не создает настроение, как символы урожая этого сезона. Подписаться на РИА Новости",капибар и выдр из москвариума угостили тыквами ничто так не создает настроение как символы урожая этого сезона подписаться на риа новости,Общее
kommersant,2025-11-01T17:14:39+00:00,4,"Онлайн-банк Revolut начал блокировать счета российских клиентов, у которых нет вида на жительство в Евросоюзе или европейского гражданства. Финансовое учреждение, ссылаясь на недавно принятый ЕС 19-й пакет санкций против России, с коротким интервалом разослало россиянам два сообщения. В первом была просьба предоставить копию вида на жительство, во втором — уведомление о закрытии счета. Такие сообщения получили россияне, живущие в странах ЕС с долгосрочными визами или видом на жительство. Revolut оставался одной из немногих финансовых организаций, готовых открывать счета российским гражданам, которые уехали из страны после начала военных действий на Украине. Подписывайтесь на «Ъ»|Оставляйте «бусты»",онлайн банк revolut начал блокировать счета российских клиентов у которых нет вида на жительство в евросоюзе или европейского гражданства финансовое учреждение ссылаясь на недавно принятый ес 19 й пакет санкций против россии с коротким интервалом разослало россиянам два сообщения в первом была просьба предоставить копию вида на жительство во втором уведомление о закрытии счета такие сообщения получили россияне живущие в странах ес с долгосрочными визами или видом на жительство revolut оставался одной из немногих финансовых организаций готовых открывать счета российским гражданам которые уехали из страны после начала военных действий на украине подписывайтесь на ъ оставляйте бусты,Экономика
aviadispet4er,2025-10-28T11:09:58+00:00,10,"В Испании девять самолетов не смогли приземлиться из-за угрозы БПЛА. Об этом сообщают британские СМИ. Беспилотную опасность объявили в аэропорту Аликанте на востоке Испании вчера вечером. Воздушную гавань временно закрыли на прием и вылет всех рейсов. В результате девять самолетов, летевших из Великобритании, перенаправили на ближайшие аэродромы. Как пишет ""Новый день"" со ссылкой на газету The Sun, дрон обнаружить не удалось. Через несколько часов ограничения сняли, работа аэропорта была возобновлена.",в испании девять самолетов не смогли приземлиться из за угрозы бпла об этом сообщают британские сми беспилотную опасность объявили в аэропорту аликанте на востоке испании вчера вечером воздушную гавань временно закрыли на прием и вылет всех рейсов в результате девять самолетов летевших из великобритании перенаправили на ближайшие аэродромы как пишет новый день со ссылкой на газету the sun дрон обнаружить не удалось через несколько часов ограничения сняли работа аэропорта была возобновлена,Происшествия
mosrutop,2025-10-29T11:11:24+00:00,3,"В этом году на mos.ru появились новые полезные сервисы. Среди них: «Мосбилет» для покупки билетов без комиссии; суперраздел «Москва — детям» с услугами для родителей; «Моспитомец» — сервис, где можно выбрать любимца из приюта; навигатор по перепланировке квартир; спецпроект по оформлению загранпаспортов. Всего на портале доступно более 450 цифровых услуг, которые помогают горожанам решать повседневные задачи. За 10 лет работы mos.ru обработал более 5,5 миллиарда запросов.",в этом году на mos ru появились новые полезные сервисы среди них мосбилет для покупки билетов без комиссии суперраздел москва детям с услугами для родителей моспитомец сервис где можно выбрать любимца из приюта навигатор по перепланировке квартир спецпроект по оформлению загранпаспортов всего на портале доступно более 450 цифровых услуг которые помогают горожанам решать повседневные задачи за 10 лет работы mos ru обработал более 5 5 миллиарда запросов,"Общество, государство, политика"
tass_agency,2025-11-01T07:51:01+00:00,1,"Активный центр, вспышки из которого уже на следующей неделе могут начать влиять на Землю, полностью вышел на видимую сторону Солнца, сообщает лаборатория солнечной астрономии ИКИ РАН и ИСЗФ СО РАН. Видео: Telegram-канал лаборатории солнечной астрономии ИКИ РАН",активный центр вспышки из которого уже на следующей неделе могут начать влиять на землю полностью вышел на видимую сторону солнца сообщает лаборатория солнечной астрономии ики ран и исзф со ран видео telegram канал лаборатории солнечной астрономии ики ран,Наука и техника
mosrutop,2025-10-23T06:10:43+00:00,0,"В Москве открылся 13-й сезон метапредметной олимпиады «Не прервется связь поколений». В ней могут участвовать ученики 4–11-х классов и студенты колледжей. Ребята исследуют жизнь, подвиги и достижения героев Великой Отечественной войны и специальной военной операции. Зарегистрироваться для участия можно до 19 января на официальном сайте.",в москве открылся 13 й сезон метапредметной олимпиады не прервется связь поколений в ней могут участвовать ученики 4 11 х классов и студенты колледжей ребята исследуют жизнь подвиги и достижения героев великой отечественной войны и специальной военной операции зарегистрироваться для участия можно до 19 января на официальном сайте,Общее
rbc_news,2025-10-31T13:41:29+00:00,2,"Цифровые помощники на основе ИИ анализируют данные, помогают оптимизировать производство и управляют рекламными кампаниями. Как такие технологии влияют на эффективность бизнеса и меняют рынок труда, — рассказал Константин Романов, директор по искусственному интеллекту и цифровым продуктам «Билайна». _РБК Тренды_",цифровые помощники на основе ии анализируют данные помогают оптимизировать производство и управляют рекламными кампаниями как такие технологии влияют на эффективность бизнеса и меняют рынок труда рассказал константин романов директор по искусственному интеллекту и цифровым продуктам билайна рбк тренды,ИТ и телекоммуникации
