channel_short,date,forwards,replies,topic,text,views
kommersant,2025-11-01T13:12:14+00:00,68.0,,4,"Туристический центр Финляндии теряет €1 млн в день из-за закрытия границы с Россией, сообщает Bloomberg. Безработица в Иматре, популярном курортном городе Финляндии, достигла 15%, значительно превышая средний показатель по стране в 9,1%. В городе, где проживает около 25 тыс. человек, многие магазины закрыты, а компании сокращают персонал, сообщает агентство. Руководитель направления маркетинга и туризма в администрации Иматры Якко Яппинен разрабатывает новую стратегию для восстановления экономики. Город планирует привлекать туристов из других стран. Подписывайтесь на «Ъ»|Оставляйте «бусты»",16777.0
kommersant,2025-11-01T13:11:04+00:00,25.0,,3,"Правительство РФ перенесло ввод новых правил расчета утильсбора для легковых автомобилей на 1 декабря 2025 года. Новый механизм расчета будет учитывать тип и объем двигателя, а мощность повлияет на коэффициент по прогрессивной шкале. Перенос сроков позволит избежать проблем для граждан, которые уже заказали автомобили мощностью свыше 160 л.с., но столкнулись с задержками поставок. Утвержденные параметры не затронут тех, кто оплатил утильсбор до их вступления в силу. Подписывайтесь на «Ъ»|Оставляйте «бусты»",16632.0
kommersant,2025-11-01T12:37:06+00:00,127.0,,3,"Депозитарий Euroclear начал разблокировку активов россиян без американской лицензии OFAC. Юрист адвокатского бюро NSP Глеб Бойко заявил, что известно уже о трех успешных случаях такой разблокировки у разных брокеров. Теперь процесс возможен без участия американского регулятора, если: в транзакции не участвуют американские лица или финансовые институты; перестановка активов осуществляется внутри Euroclear; у инвестора есть лицензия Казначейства Бельгии. В 2022 году активы российских инвесторов были заблокированы в европейских депозитариях Euroclear и Clearstream. Объем замороженных средств оценивался в 6 трлн руб. Подписывайтесь на «Ъ»|Оставляйте «бусты»",19136.0
kommersant,2025-11-01T12:19:34+00:00,56.0,,3,"Президент Венесуэлы Николас Мадуро обратился за помощью к России, Китаю и Ирану на фоне усиливающегося военного давления со стороны США, сообщила газета The Washington Post. В частности, Владимира Путина он попросил помочь в укреплении системы ПВО Венесуэлы, в том числе за счет ремонта закупленных у Москвы истребителей Су-30. По данным газеты, он также попросил поставить партию российских ракет и предоставить логистическую помощь. Американские СМИ узнали об утверждении списка целей для ударов по Венесуэле, которые, как утверждает Вашингтон, связаны с наркокартелями. Дональд Трамп отрицает подготовку к нападению. Подписывайтесь на «Ъ»|Оставляйте «бусты»",19798.0
kommersant,2025-11-01T11:49:29+00:00,69.0,,10,"Активы экс-главы Крымского района Кубани Сергея Леся и его семьи арестованы, стало известно «Ъ-Кубань». Ранее его задержали по подозрению в хищении государственных участков на сумму 2 млрд руб. Прокуратура подала иск об обращении в доход государства имущества Сергея Леся, его родных и знакомых. Истцами также выступают Минфин, Федеральное казначейство и ФССП. _Telegram-канал Сергея Леся_ Подписывайтесь на «Ъ»|Оставляйте «бусты»",19705.0
kommersant,2025-11-01T11:38:40+00:00,27.0,,3,"Банк России ужесточил регулирование для кредитования заемщиков с высокой долговой нагрузкой как в розничном, так и в корпоративном сегменте. С начала 2026 года для ипотечных кредитов под индивидуальное жилье и для нецелевых кредитов под залог недвижимости будут снижены лимиты выдачи кредитов для закредитованных граждан. Для кредитов крупным компаниям с высокой долговой нагрузкой с 1 декабря 2025 года будет удвоена надбавка к коэффициенту риска (повысится с 20% до 40%). Банк России отмечает, что высокая долговая нагрузка покупателей жилья способствовала существенному ухудшению качества ипотеки на ИЖС. Эксперты считают, что Банк России ужесточил регулирование наиболее рисковых сегментов, но эффект эти меры дадут только в долгосрочной перспективе. Подписывайтесь на «Ъ»|Оставляйте «бусты»",19616.0
kommersant,2025-11-01T11:23:39+00:00,47.0,,3,"Росгвардия разработала расширенный перечень служебного оружия, разрешенного для использования в частной охранной деятельности. Проект разрешает ЧОПовцам применять газовые пистолеты, револьверы, электрошокеры, а также распылители со слезоточивыми веществами. Предполагается, что обновленный перечень оружия вступит в силу с 1 сентября 2026 года одновременно с законом о расширении полномочий ЧОП. Подписывайтесь на «Ъ»|Оставляйте «бусты»",19575.0
kommersant,2025-11-01T11:05:06+00:00,22.0,,3,"Владимир Путин провел встречу со своим помощником и спецпредставителем по вопросам климата Русланом Эдельгериевым, сообщили в Кремле. Тема встречи — международное регулирование использования водных ресурсов. Президент отметил, что России важно выбрать такой вариант диалога по экологической повестке, чтобы не забывать и о своих интересах. По его словам, проблема водных ресурсов в мире становится более острой. Ранее сообщалось, что господин Эдельгериев возглавит российскую делегацию на климатической конференции ООН в Бразилии. _пресс-служба Кремля_ Подписывайтесь на «Ъ»|Оставляйте «бусты»",20126.0
kommersant,2025-11-01T10:39:12+00:00,36.0,,3,"Король Испании Филипп VI с 11 по 13 ноября совершит первый за время своего правления госвизит в Китай. Подготовка к первой за семь лет поездке европейского монарха в Пекин проходит в условиях ожесточенной торговой войны между Китаем и США и углубляющихся противоречий между Европой и Америкой. Китай — главный торговый партнер Испании вне Евросоюза: в 2024 году Мадрид импортировал китайских товаров и услуг на €45 млрд. Китайские инвестиции в страну также растут. Предстоящий визит Филиппа VI демонстрирует приоритетность торгово-экономических интересов в отношениях с Китаем. По сообщениям испанских СМИ, короля в поездке будет сопровождать группа лидеров бизнеса из таких секторов, как автомобилестроение, производство продуктов питания, энергетика и фармацевтика. Подписывайтесь на «Ъ» в Telegram | в MAX | Оставляйте «бусты»",21179.0
kommersant,2025-11-01T07:59:55+00:00,95.0,,5,"За последние 25 лет число врачей в России выросло, но их все равно недостаточно. Чаще всего не хватает участковых терапевтов, сотрудников скорой помощи и в целом лечащих врачей в государственных медучреждениях. К таким выводам пришли исследователи проекта «Если быть точным», изучив открытые данные Росстата, Минздрава и подведомственных ему структур. Аналитики связывают кадровую нехватку специалистов с низкими зарплатами и высокой нагрузкой — две трети медиков работают больше чем на одну ставку. Медицинские профсоюзы подтверждают наличие этих проблем, отмечая, что переработки есть везде, даже в Москве. Однако в подведомственном Минздраву институте раскритиковали исследование, не согласившись с методикой оценки статистики. В самом министерстве напомнили про «последовательную модернизацию системы здравоохранения» и заявили про регулярное повышение зарплат медработников. Подробнее — в материале «Ъ». #Ъузнал",22783.0
kommersant,2025-11-01T02:34:49+00:00,21.0,,8,"Еще в одном зимнем виде спорта отстранение россиян признано незаконным. Спортивный арбитражный суд (CAS) частично удовлетворил апелляцию отечественных саночников, фактически признав действующее с 2022 года решение Международной федерации санного спорта (FIL) об их отстранении от участия в топовых турнирах незаконным. Такими же ранее были признаны санкции, примененные к российским бобслеистам и скелетонистам. Впрочем, как победы полноценные эти события воспринимать все-таки не стоит. В обоих случаях речь идет о «частичных» отменах, с важными оговорками. Подробности — в материале «Ъ». Подписывайтесь на «Ъ»|Оставляйте «бусты»",23637.0
kommersant,2025-10-31T19:58:00+00:00,92.0,,5,"Европейский медицинский центр (ЕМЦ) приобрел 75% акций в сети клиник «Семейный доктор». Сумма сделки, по экспертным оценкам, могла достигнуть 15 млрд руб. Для ЕМЦ эта покупка — выход в новый сегмент рынка. Компания ориентируется на премиальных клиентов, с массовым отъездом из России в 2022 году экспатов бизнес компании практически перестал расти. «Семейный доктор», работающий в более бюджетом сегменте, может способствовать улучшению финансовых показателей ЕМЦ. Подписывайтесь на «Ъ»|Оставляйте «бусты»",26034.0
kommersant,2025-10-31T05:39:09+00:00,83.0,,2,"«Авито» планирует запустить собственного ИИ-ассистента «Ави». По словам источника «Ъ», близкого к компании, стоимость разработки могла составить около 500 млн руб. Заявка на регистрацию товарного знака уже направлена в Роспатент. В «Авито» рассказали, что сейчас проводится тестирование модели, а полноценный запуск во всех вертикалях платформы планируется на следующий год. Технология строится на базе большой языковой модели и будет помогать пользователям решать ежедневные задачи в формате диалога: уточнять, для какой цели интересует товар или услуга, их параметры, а также объяснять отличия между вариантами и предлагать наиболее подходящие. Запуск подобных ИИ-решений крупными компаниями для узкой специализации — тренд на рынке, отмечают эксперты. Сети меняются. Мы следим. Подписывайтесь.",24331.0
kommersant,2025-10-30T23:12:15+00:00,6.0,,8,"Российский теннисист, 13-я ракетка мира, Даниил Медведев вышел в четвертьфинал турнира Masters в Париже. Он одержал победу над итальянцем Лоренцо Сонего в матче третьего круга. Встреча завершилась в пользу россиянина со счетом 3:6, 7:6 (7:5), 6:4. В четвертьфинале Медведев встретится с победителем пары Алехандро Давидович-Фокина (Испания) — Александр Зверев (Германия). Подписывайтесь на «Ъ»|Оставляйте «бусты»",23352.0
kommersant,2025-10-30T21:04:14+00:00,192.0,,3,"Законопроект об обязательных отработках для выпускников медицинских вузов принят Госдумой со значительными поправками. Как стало известно «Ъ», перед заседанием представители фракции КПРФ просили снять документ с рассмотрения: по их оценке, он явно «сырой», к тому же «медицинская общественность» выступает против инициативы. Однако спикер Вячеслав Володин призвал коммунистов «не девальвировать себя и не уходить от необходимости принять решение». «Врачей нет в больницах. А общественность бывает разная»,— сказал господин Володин. Тем не менее законопроект Госдума значительно смягчила по сравнению с первым вариантом. Теперь обязанность заключать целевые договоры будет распространяться только на бюджетное образование по программам ординатуры, а отработка будет длиться не строго три года для всех, а до трех лет в зависимости от специальности. Подробнее — в материале «Выпускникам медвузов легчает». #Ъузнал",28733.0
kommersant,2025-10-30T17:00:39+00:00,21.0,,4,"В Цифровом деловом пространстве в Москве 5 ноября пройдет конференция «Brand Analytics Conference 2025», сообщается в пресс-релизе организаторов. Мероприятие посвящено использованию аналитики соцмедиа для повышения эффективности бизнеса в условиях сжатия экономики. На конференции продемонстрируют новые технологические решения, представят первую в России карту индустрии: как компании применяют аналитику соцмедиа. Участники смогут ознакомиться с кейсами от крупных брендов, а также посетить практические мастер-классы по работе с аналитическими инструментами. ___Пресс-служба Brand Analytics_ Подписывайтесь на «Ъ»|Оставляйте «бусты»",26075.0
kommersant,2025-10-30T16:36:59+00:00,34.0,,4,"Если реальные располагаемые денежные доходы населения в первом полугодии 2025 года выросли на 7,8%, то оборот розничной торговли — всего на 2,1%, рассказал в интервью «Ъ» начальник отдела аналитических исследований Института комплексных стратегических исследований Сергей Заверский. «В июле—августе эта тенденция сохранилась. По непродовольственным товарам замедление роста продаж еще более существенное, а по целому ряду групп прослеживается именно сокращение потребительских расходов год к году. Это, например, бытовая техника, мебель, товары для строительства и ремонта, одежда и обувь». По словам господина Заверского, объем средств граждан на банковских вкладах растет быстрее, чем проценты по депозитам, пока еще наблюдается чистый приток средств. Но многое зависит от того, о каких доходных группах идет речь. Так, согласно опросам, утверждает он, около 60% россиян вообще не имеют сбережений. _Из личного архива Сергея Заверского_ Подписывайтесь на «Ъ»|Оставляйте «бусты»",26511.0
kommersant,2025-10-30T06:28:47+00:00,119.0,,5,"В России снижается число операций по уменьшению желудка для борьбы с лишним весом, обратил внимание «Ъ». Если в 2023 году было проведено 9,6 тыс. таких операций, то за девять месяцев 2025 года — всего 6,7 тыс. Параллельно растет популярность медикаментозных препаратов для снижения веса на основе семаглутида и тирзепатида. На аналоги «Оземпика» россияне за январь—август 2025 года потратили 16,8 млрд руб. Опрошенные «Ъ» врачи согласны, что многим пациентам стоит начать с медикаментозного лечения и лишь потом прибегать к хирургическому вмешательству. Однако они предупреждают, что новые препараты должны приниматься по медицинским показаниям и под контролем врача, а после их отмены вес может быстро вернуться обратно. #Ъузнал",25802.0
kommersant,2025-10-29T22:58:10+00:00,23.0,,2,"Средняя скорость мобильного интернета в московском метро в 2025 году достигла 94,7 Мбит/с, говорится в исследовании TelecomDaily, с которым ознакомился «Ъ». Это больше, чем год назад (85,5 Мбит/с), но меньше пикового значения 2023 года (95,6 Мбит/с). Достичь показателя 2023 года пока сложно в том числе из-за возросшей нагрузки на сеть — количество пользователей Wi-Fi в метрополитене сократилось, люди стали больше пользоваться мобильным интернетом. Операторы говорят, что объем трафика в метро вырос на 12–20%, а сами они продолжают обновлять оборудование. При этом полностью отказаться от Wi-Fi в метро пока невозможно, отмечают эксперты. Сети меняются. Мы следим. Подписывайтесь.",22566.0
kommersant,2025-10-29T16:58:24+00:00,59.0,,10,"Актер и режиссер дубляжа Андрей Гриневич умер в возрасте 69 лет Об этом сообщил его коллега, актер озвучки Ислам Ганджаев. Как актер дубляжа он работал над озвучанием более 400 проектов, а срежиссировал — более 150. Андрей Гриневич дублировал Брюса Уиллиса («Крепкий орешек 2», «Осада»), Алека Болдуина («Деловая женщина»), Чарли Шина («Горячие головы»), Шона Коннери («Робин Гуд: Принц воров»), Майкла Мэдсена («Бладрейн», «Город грехов») и многих других. Вспоминаем героев, которым Андрей Гриневич подарил голос. _ Подписывайтесь на Weekend_",28277.0
kommersant,2025-10-29T11:11:44+00:00,33.0,,6,Елена Булукова назначена генеральным директором Московского художественного академического театра имени М. Горького. Об этом сообщили в Минкультуры РФ. Ранее она занимала должность директора Государственного академического Центрального театра кукол имени С. В. Образцова. ___ Telegram/mincultrussia_ Подписывайтесь на «Ъ»|Оставляйте «бусты»,25565.0
kommersant,2025-10-28T08:44:41+00:00,143.0,,3,"Президент Франции Эмманюэль Макрон грезит военной интервенцией на Украину, чтобы войти в историю в качестве полководца. Об этом говорится в сообщении пресс-бюро Службы внешней разведки РФ. «Наполеон, Карл XII, Макрон — траектория падения. По поступающей в СВР информации, президент Франции Макрон грезит военной интервенцией на Украину. Провалившись как политик и отчаявшись вывести страну из затяжного социально-экономического кризиса, он не оставляет надежды войти в историю в качестве полководца», — говорится в материале. Подписывайтесь на «Ъ»|Оставляйте «бусты»",37586.0
kommersant,2025-10-27T09:09:52+00:00,164.0,,5,"В России впервые появились профильные клинические рекомендации по лечению алкогольного амнестического синдрома. Это тяжелое нарушение памяти, при котором человек теряет способность запоминать новую информацию. Эксперт отмечает, что расстройство развивается у 5–8% людей с тяжелым алкоголизмом и часто остается недиагностированным, поэтому клинические рекомендации так важны. Согласно клиническим рекомендациям, обследование на предмет заболевания включает: осмотр психиатра-нарколога и невролога, лабораторные анализы, тестирование умственных способностей по шкале MoCA и МРТ, из-за нарушений памяти критически важен опрос родственников. Лечение должно быть комплексным и пожизненным. Его основа — полный отказ от алкоголя. Подписывайтесь на «Ъ» в Telegram | в MAX | Оставляйте «бусты»",41984.0
kommersant,2025-10-27T08:57:44+00:00,35.0,,2,"Оператор Т2 может представить новую платформу для закупки рекламы в интернете или кабинет для запуска промоакций в Telegram, рассказал «Ъ» источник на медиарынке. Компания планирует объединить приобретенные ранее проекты Yabbi, Redllama и Plazkart для создания нового бренда. Эксперты не исключают возможность выпуска DSP-платформы (программный инструмент для автоматической закупки рекламы в интернете). Представители отрасли отмечают, что наличие у Т2 данных о поведении и геолокации абонентов даст компании возможность создать точную персонализацию и повысить эффективность рекламных кампаний. Сети меняются. Мы следим. Подписывайтесь.",27843.0
kommersant,2025-10-27T02:29:26+00:00,133.0,,5,"Минздрав предоставил «Ъ» статистику по контролю качества медпомощи в федеральных больницах и поликлиниках. Речь идет о данных после 2021 года, когда этот контроль был передан от медицинских страховых организаций самому федеральному фонду ОМС, который эту помощь финансирует. Поводом для обращения стали отчеты Счетной палаты. По ним жалобы в 2022-2024 годах застрахованных в этот период не рассматривались, а экспертизы не проводились. В самом Минздраве фиксируют, что качество услуг федеральных медцентров в итоге не снизилось, а страховщики и пациентские организации отмечают, что число разбирательств под контролем фонда ОМС и активность привлечения экспертов резко сократились. Пациенты же по-прежнему жалуются страховщикам, и в 70% случаев обоснованно. Подробности — в материале «Ъ» «Больной вопрос лечения». #Ъузнал",88171.0
